Maladie;Symptome_1;Symptome_2;Symptome_3;Symptome_4;Symptome_5;Symptome_6;Symptome_7;Symptome_8;Symptome_9;Symptome_10;Symptome_11;Symptome_12;Symptome_13;Symptome_14;Symptome_15;Symptome_16;Symptome_17
Arthrose;douleur articulaire;douleur de cou;douleur de genou;douleur d'hanche articulation;gonflement articulations;marche douloureuse;;;;;;;;;;;
Arthrite;faiblesse musculaire;Raîdeur  cou;gonflement articulations;movement Raîdeur ness;marche douloureuse;;;;;;;;;;;;
Vertige positionnel paroxystique bénin (VPPB);vomissements;maux de tête;nausées;tournoyante selles;perte d'équilibre;instabilité;;;;;;;;;;;
Acné;éruption cutanée;boutons remplis de pus;points noirs;desquamation;;;;;;;;;;;;;
Infection urinaire;Brûlure à la miction;vessie gêne;mauvaise odorat of urine;sensation continue d'uriner;;;;;;;;;;;;;
Psoriasis;éruption cutanée;douleur articulaire;peau peeling;Desquamation argentée;petits creux dans les ongles;Inflammation des ongles;;;;;;;;;;;
Impétigo;éruption cutanée;fièvre élevée;ampoule;Lésion rouge autour du nez;suintement de croûtes jaunes;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;larmoiement;;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;
Gastro-entérite;vomissements;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;
Hépatite C;fatigue;peau jaunâtre;nausées;perte d'appétit;jaunissement des yeux;antécédents familiaux;;;;;;;;;;;
Hépatite D;douleur articulaire;vomissements;fatigue;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;
Hépatite E;douleur articulaire;vomissements;fatigue;fièvre élevée;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;insuffisance hépatique aiguë;coma;Hémorragie gastrique;;;;
Hépatite alcoolique;vomissements;peau jaunâtre;douleur abdominale;gonflement de l'estomac;distension de l'abdomen;antécédents de consommation d'alcool;surcharge hydrique;;;;;;;;;;
Tuberculose;frissons;vomissements;fatigue;perte de poids;toux;fièvre élevée;essoufflement;transpiration;perte d'appétit;fièvre légère;jaunissement des yeux;ganglions lymphatiques gonflés;malaise;mucosités;douleur thoracique;sang dans les crachats;
Rhume;éternuements continus;frissons;fatigue;toux;fièvre élevée;maux de tête;ganglions lymphatiques gonflés;malaise;mucosités;irritation de la gorge;rougeur des yeux;pression des sinus;nez qui coule;congestion;douleur thoracique;perte de l'odorat;douleur musculaire
Pneumonie;frissons;fatigue;toux;fièvre élevée;essoufflement;transpiration;malaise;mucosités;douleur thoracique;Fréquence cardiaque élevée;crachats rouillés;;;;;;
Hémorroïdes;constipation;douleur lors des selles;douleur dans la région anale;selles sanglantes;irritation de l'anus;;;;;;;;;;;;
Infarctus du myocarde;vomissements;essoufflement;transpiration;douleur thoracique;;;;;;;;;;;;;
Varices;fatigue;crampes;ecchymoses;obésité;Jambes gonflées;Dilatation vasculaire;veines saillantes sur le mollet;;;;;;;;;;
Hypothyroïdie;fatigue;prise de poids;froid hands et feets;Sautes d’humeur;léthargie;étourdissements;visage et yeux bouffis;augmentés thyroïde;fragiles ongles;Œdème des extrémités;dépression;irritabilité;menstruations anormales;;;;
Hyperthyroïdie;fatigue;Sautes d’humeur;perte de poids;agitation;transpiration;diarrhée;Fréquence cardiaque élevée;Faim excessive;faiblesse musculaire;irritabilité;menstruations anormales;;;;;;
Hypoglycémie;vomissements;fatigue;anxiété;transpiration;maux de tête;nausées;vision floue et déformée;Faim excessive;dessèchement et picotements lèvres;troubles de l' parole;irritabilité;palpitations;;;;;
Arthrose;douleur articulaire;douleur de cou;douleur de genou;douleur d'hanche articulation;gonflement articulations;marche douloureuse;;;;;;;;;;;
Arthrite;faiblesse musculaire;Raîdeur  cou;gonflement articulations;movement Raîdeur ness;marche douloureuse;;;;;;;;;;;;
Vertige positionnel paroxystique bénin (VPPB);vomissements;maux de tête;nausées;tournoyante selles;perte d'équilibre;instabilité;;;;;;;;;;;
Acné;éruption cutanée;boutons remplis de pus;points noirs;desquamation;;;;;;;;;;;;;
Infection urinaire;Brûlure à la miction;vessie gêne;mauvaise odorat of urine;sensation continue d'uriner;;;;;;;;;;;;;
Psoriasis;éruption cutanée;douleur articulaire;peau peeling;Desquamation argentée;petits creux dans les ongles;Inflammation des ongles;;;;;;;;;;;
Impétigo;éruption cutanée;fièvre élevée;ampoule;Lésion rouge autour du nez;suintement de croûtes jaunes;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;larmoiement;;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;
Gastro-entérite;vomissements;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;
Hépatite C;fatigue;peau jaunâtre;nausées;perte d'appétit;jaunissement des yeux;antécédents familiaux;;;;;;;;;;;
Hépatite D;douleur articulaire;vomissements;fatigue;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;
Hépatite E;douleur articulaire;vomissements;fatigue;fièvre élevée;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;insuffisance hépatique aiguë;coma;Hémorragie gastrique;;;;
Hépatite alcoolique;vomissements;peau jaunâtre;douleur abdominale;gonflement de l'estomac;distension de l'abdomen;antécédents de consommation d'alcool;surcharge hydrique;;;;;;;;;;
Tuberculose;frissons;vomissements;fatigue;perte de poids;toux;fièvre élevée;essoufflement;transpiration;perte d'appétit;fièvre légère;jaunissement des yeux;ganglions lymphatiques gonflés;malaise;mucosités;douleur thoracique;sang dans les crachats;
Rhume;éternuements continus;frissons;fatigue;toux;fièvre élevée;maux de tête;ganglions lymphatiques gonflés;malaise;mucosités;irritation de la gorge;rougeur des yeux;pression des sinus;nez qui coule;congestion;douleur thoracique;perte de l'odorat;douleur musculaire
Pneumonie;frissons;fatigue;toux;fièvre élevée;essoufflement;transpiration;malaise;mucosités;douleur thoracique;Fréquence cardiaque élevée;crachats rouillés;;;;;;
Hémorroïdes;constipation;douleur lors des selles;douleur dans la région anale;selles sanglantes;irritation de l'anus;;;;;;;;;;;;
Infarctus du myocarde;vomissements;essoufflement;transpiration;douleur thoracique;;;;;;;;;;;;;
Varices;fatigue;crampes;ecchymoses;obésité;Jambes gonflées;Dilatation vasculaire;veines saillantes sur le mollet;;;;;;;;;;
Hypothyroïdie;fatigue;prise de poids;froid hands et feets;Sautes d’humeur;léthargie;étourdissements;visage et yeux bouffis;augmentés thyroïde;fragiles ongles;Œdème des extrémités;dépression;irritabilité;menstruations anormales;;;;
Hyperthyroïdie;fatigue;Sautes d’humeur;perte de poids;agitation;transpiration;diarrhée;Fréquence cardiaque élevée;Faim excessive;faiblesse musculaire;irritabilité;menstruations anormales;;;;;;
Hypoglycémie;vomissements;fatigue;anxiété;transpiration;maux de tête;nausées;vision floue et déformée;Faim excessive;dessèchement et picotements lèvres;troubles de l' parole;irritabilité;palpitations;;;;;
Arthrose;douleur articulaire;douleur de cou;douleur de genou;douleur d'hanche articulation;gonflement articulations;marche douloureuse;;;;;;;;;;;
Arthrite;faiblesse musculaire;Raîdeur  cou;gonflement articulations;movement Raîdeur ness;marche douloureuse;;;;;;;;;;;;
Vertige positionnel paroxystique bénin (VPPB);vomissements;maux de tête;nausées;tournoyante selles;perte d'équilibre;instabilité;;;;;;;;;;;
Acné;éruption cutanée;boutons remplis de pus;points noirs;desquamation;;;;;;;;;;;;;
Infection urinaire;Brûlure à la miction;vessie gêne;mauvaise odorat of urine;sensation continue d'uriner;;;;;;;;;;;;;
Psoriasis;éruption cutanée;douleur articulaire;peau peeling;Desquamation argentée;petits creux dans les ongles;Inflammation des ongles;;;;;;;;;;;
Impétigo;éruption cutanée;fièvre élevée;ampoule;Lésion rouge autour du nez;suintement de croûtes jaunes;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;larmoiement;;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;
Gastro-entérite;vomissements;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;
Hépatite C;fatigue;peau jaunâtre;nausées;perte d'appétit;jaunissement des yeux;antécédents familiaux;;;;;;;;;;;
Hépatite D;douleur articulaire;vomissements;fatigue;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;
Hépatite E;douleur articulaire;vomissements;fatigue;fièvre élevée;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;insuffisance hépatique aiguë;coma;Hémorragie gastrique;;;;
Hépatite alcoolique;vomissements;peau jaunâtre;douleur abdominale;gonflement de l'estomac;distension de l'abdomen;antécédents de consommation d'alcool;surcharge hydrique;;;;;;;;;;
Tuberculose;frissons;vomissements;fatigue;perte de poids;toux;fièvre élevée;essoufflement;transpiration;perte d'appétit;fièvre légère;jaunissement des yeux;ganglions lymphatiques gonflés;malaise;mucosités;douleur thoracique;sang dans les crachats;
Rhume;éternuements continus;frissons;fatigue;toux;fièvre élevée;maux de tête;ganglions lymphatiques gonflés;malaise;mucosités;irritation de la gorge;rougeur des yeux;pression des sinus;nez qui coule;congestion;douleur thoracique;perte de l'odorat;douleur musculaire
Pneumonie;frissons;fatigue;toux;fièvre élevée;essoufflement;transpiration;malaise;mucosités;douleur thoracique;Fréquence cardiaque élevée;crachats rouillés;;;;;;
Hémorroïdes;constipation;douleur lors des selles;douleur dans la région anale;selles sanglantes;irritation de l'anus;;;;;;;;;;;;
Infarctus du myocarde;vomissements;essoufflement;transpiration;douleur thoracique;;;;;;;;;;;;;
Varices;fatigue;crampes;ecchymoses;obésité;Jambes gonflées;Dilatation vasculaire;veines saillantes sur le mollet;;;;;;;;;;
Hypothyroïdie;fatigue;prise de poids;froid hands et feets;Sautes d’humeur;léthargie;étourdissements;visage et yeux bouffis;augmentés thyroïde;fragiles ongles;Œdème des extrémités;dépression;irritabilité;menstruations anormales;;;;
Hyperthyroïdie;fatigue;Sautes d’humeur;perte de poids;agitation;transpiration;diarrhée;Fréquence cardiaque élevée;Faim excessive;faiblesse musculaire;irritabilité;menstruations anormales;;;;;;
Hypoglycémie;vomissements;fatigue;anxiété;transpiration;maux de tête;nausées;vision floue et déformée;Faim excessive;dessèchement et picotements lèvres;troubles de l' parole;irritabilité;palpitations;;;;;
Arthrose;douleur articulaire;douleur de cou;douleur de genou;douleur d'hanche articulation;gonflement articulations;marche douloureuse;;;;;;;;;;;
Arthrite;faiblesse musculaire;Raîdeur  cou;gonflement articulations;movement Raîdeur ness;marche douloureuse;;;;;;;;;;;;
Vertige positionnel paroxystique bénin (VPPB);vomissements;maux de tête;nausées;tournoyante selles;perte d'équilibre;instabilité;;;;;;;;;;;
Acné;éruption cutanée;boutons remplis de pus;points noirs;desquamation;;;;;;;;;;;;;
Infection urinaire;Brûlure à la miction;vessie gêne;mauvaise odorat of urine;sensation continue d'uriner;;;;;;;;;;;;;
Psoriasis;éruption cutanée;douleur articulaire;peau peeling;Desquamation argentée;petits creux dans les ongles;Inflammation des ongles;;;;;;;;;;;
Impétigo;éruption cutanée;fièvre élevée;ampoule;Lésion rouge autour du nez;suintement de croûtes jaunes;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;larmoiement;;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;
Gastro-entérite;vomissements;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;
Dengue;éruption cutanée;frissons;douleur articulaire;vomissements;fatigue;fièvre élevée;maux de tête;nausées;perte d'appétit;douleur derrière les yeux;douleur dorsale;malaise;douleur musculaire;Taches rouges sur le corps;;;
Fièvre typhoïde;frissons;vomissements;fatigue;fièvre élevée;maux de tête;nausées;constipation;douleur abdominale;diarrhée;toxique aspect (typhos);douleur au ventre;;;;;;
Hépatite A;douleur articulaire;vomissements;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;diarrhée;fièvre légère;jaunissement des yeux;douleur musculaire;;;;;;
Hépatite B;démangeaisons;fatigue;léthargie;peau jaunâtre;urines foncées;perte d'appétit;douleur abdominale;urines jaunes;jaunissement des yeux;malaise;transfusion sanguine récente;injections non stériles;;;;;
Hépatite C;fatigue;peau jaunâtre;nausées;perte d'appétit;jaunissement des yeux;antécédents familiaux;;;;;;;;;;;
Hépatite D;douleur articulaire;vomissements;fatigue;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;
Hépatite E;douleur articulaire;vomissements;fatigue;fièvre élevée;peau jaunâtre;urines foncées;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;insuffisance hépatique aiguë;coma;Hémorragie gastrique;;;;
Hépatite alcoolique;vomissements;peau jaunâtre;douleur abdominale;gonflement de l'estomac;distension de l'abdomen;antécédents de consommation d'alcool;surcharge hydrique;;;;;;;;;;
Tuberculose;frissons;vomissements;fatigue;perte de poids;toux;fièvre élevée;essoufflement;transpiration;perte d'appétit;fièvre légère;jaunissement des yeux;ganglions lymphatiques gonflés;malaise;mucosités;douleur thoracique;sang dans les crachats;
Rhume;éternuements continus;frissons;fatigue;toux;fièvre élevée;maux de tête;ganglions lymphatiques gonflés;malaise;mucosités;irritation de la gorge;rougeur des yeux;pression des sinus;nez qui coule;congestion;douleur thoracique;perte de l'odorat;douleur musculaire
Pneumonie;frissons;fatigue;toux;fièvre élevée;essoufflement;transpiration;malaise;mucosités;douleur thoracique;Fréquence cardiaque élevée;crachats rouillés;;;;;;
Hémorroïdes;constipation;douleur lors des selles;douleur dans la région anale;selles sanglantes;irritation de l'anus;;;;;;;;;;;;
Infarctus du myocarde;vomissements;essoufflement;transpiration;douleur thoracique;;;;;;;;;;;;;
Varices;fatigue;crampes;ecchymoses;obésité;Jambes gonflées;Dilatation vasculaire;veines saillantes sur le mollet;;;;;;;;;;
Hypothyroïdie;fatigue;prise de poids;froid hands et feets;Sautes d’humeur;léthargie;étourdissements;visage et yeux bouffis;augmentés thyroïde;fragiles ongles;Œdème des extrémités;dépression;irritabilité;menstruations anormales;;;;
Hyperthyroïdie;fatigue;Sautes d’humeur;perte de poids;agitation;transpiration;diarrhée;Fréquence cardiaque élevée;Faim excessive;faiblesse musculaire;irritabilité;menstruations anormales;;;;;;
Hypoglycémie;vomissements;fatigue;anxiété;transpiration;maux de tête;nausées;vision floue et déformée;Faim excessive;dessèchement et picotements lèvres;troubles de l' parole;irritabilité;palpitations;;;;;
Arthrose;douleur articulaire;douleur de cou;douleur de genou;douleur d'hanche articulation;gonflement articulations;marche douloureuse;;;;;;;;;;;
Arthrite;faiblesse musculaire;Raîdeur  cou;gonflement articulations;movement Raîdeur ness;marche douloureuse;;;;;;;;;;;;
Vertige positionnel paroxystique bénin (VPPB);vomissements;maux de tête;nausées;tournoyante selles;perte d'équilibre;instabilité;;;;;;;;;;;
Acné;éruption cutanée;boutons remplis de pus;points noirs;desquamation;;;;;;;;;;;;;
Infection urinaire;Brûlure à la miction;vessie gêne;mauvaise odorat of urine;sensation continue d'uriner;;;;;;;;;;;;;
Psoriasis;éruption cutanée;douleur articulaire;peau peeling;Desquamation argentée;petits creux dans les ongles;Inflammation des ongles;;;;;;;;;;;
Impétigo;éruption cutanée;fièvre élevée;ampoule;Lésion rouge autour du nez;suintement de croûtes jaunes;;;;;;;;;;;;
Infection fongique (mycose);démangeaisons;éruption cutanée;éruptions cutanées nodulaires;taches dyschromiques;;;;;;;;;;;;;
Allergie;éternuements continus;tremblements;frissons;larmoiement;;;;;;;;;;;;;
RGO (reflux gastro-œsophagien);douleur à l'estomac;acidité;ulcères sur la langue;vomissements;toux;douleur thoracique;;;;;;;;;;;
Cholestase chronique;démangeaisons;vomissements;peau jaunâtre;nausées;perte d'appétit;douleur abdominale;jaunissement des yeux;;;;;;;;;;
Réaction médicamenteuse;démangeaisons;éruption cutanée;douleur à l'estomac;Brûlure à la miction;Présence de sang dans les urines;;;;;;;;;;;;
Ulcère gastro-duodénal;vomissements;indigestion;perte d'appétit;douleur abdominale;passage de gaz;internal démangeaisons;;;;;;;;;;;
SIDA;fonte musculaire;plaques dans la gorge;fièvre élevée;extra marital contacts;;;;;;;;;;;;;
Diabète;fatigue;perte de poids;agitation;léthargie;irrégulier sucre niveau;vision floue et déformée;obésité;Faim excessive;augmentation de l'appétit;polyurie;;;;;;;
Gastro-entérite;vomissements;sunken yeux;déshydratation;diarrhée;;;;;;;;;;;;;
Asthme bronchique;fatigue;toux;fièvre élevée;essoufflement;antécédents familiaux;crachats mucoïdes;;;;;;;;;;;
Hypertension artérielle;maux de tête;douleur thoracique;étourdissements;perte d'équilibre;manque de concentration;;;;;;;;;;;;
Migraine;acidité;indigestion;maux de tête;vision floue et déformée;Faim excessive;Raîdeur  cou;dépression;irritabilité;visuels troubles;;;;;;;;
Spondylose cervicale;douleur dorsale;faiblesse des membres;douleur de cou;étourdissements;perte d'équilibre;;;;;;;;;;;;
Paralysie (hémorragie cérébrale / AVC);vomissements;maux de tête;faiblesse d'un côté du corps;altération de la conscience;;;;;;;;;;;;;
Ictère;démangeaisons;vomissements;fatigue;perte de poids;fièvre élevée;peau jaunâtre;urines foncées;douleur abdominale;;;;;;;;;
Paludisme;frissons;vomissements;fièvre élevée;transpiration;maux de tête;nausées;diarrhée;douleur musculaire;;;;;;;;;
Varicelle;démangeaisons;éruption cutanée;fatigue;léthargie;fièvre élevée;maux de tête;perte d'appétit;fièvre légère;ganglions lymphatiques gonflés;malaise;Taches rouges sur le corps;;;;;;
